assetid,id
DL-D10-109254,5294a6be-6d6d-5517-ab1f-13c982845734
DL-D10-109418,ebb0f223-8c6a-52ee-a7aa-d86ab327fae9
DL-D10-109420,e253d7fc-256f-5ca1-8466-664b71c99b48
DL-D10-109424,6c33278b-8d81-5a2e-87a7-f07f7a770c04
DL-D10-109425,e3ed3c0f-0047-5fe0-a48d-d6d61d73da26
DL-D10-109426,87cd95ad-a3af-5251-9a52-2006d69713b8
DL-D10-109427,327fd28e-a241-5e47-a334-333743072f19
DL-D10-109562,27478f0b-3d35-56bf-9a38-a727b62fbea9
DL-D10-112604,1a1c025d-d70a-50e6-9687-dce4eb609aed
DL-D10-112607,f8643644-d661-53a9-99c8-aa385a2129d3
DL-D10-M106788,7c3c53b6-860c-50a1-96e7-5b544954ce23
DL-D10-M106790,873cfa12-7ca4-5c63-a80d-4d299eafd213
DL-D10-M106791,463e4bd5-037c-5b1d-bda6-4bdcefe2f9a5
DL-D10-M106792,6bcc40c7-62c9-5a46-b76b-2e83776ba2bb
DL-D10-M106793,46b1ffa8-f878-51e0-80df-67425828f778
DL-D10-M106794,27837001-7859-5d4c-b3ab-09246a9d1adb
DL-D10-M106795,458ad11c-c944-5188-90ca-46cc19bd1c8b
DL-D10-M106796,7f5b6fd9-f9f1-509d-a3b6-5187177abccd
DL-D10-M107860,8121a7ed-ca6a-53c2-9529-2f417067c9e0
DL-D10-M107861,2760a2ab-7608-5fb9-b1a8-a6bb69da5cbf
DL-D10-M108049,3ef760c7-a180-5f66-b6b7-1f9aa977fd00
DL-D10-M108194,96b9878d-f0b5-5fd2-9d2f-0543e9f68915
DL-D10-M108201,2003a8d0-fead-5059-870f-a71465eaa75b
DL-D10-M108840,078f35dc-e8a7-522b-bf6e-1b713bc2e0da
DL-D10-M108854,8611b810-86b3-5f8a-ad79-c09a1b73f2e8
DL-D10-M108856,4e0db7f5-054b-5599-9515-896557221732
DL-D10-M108857,4a049a0c-0f7b-5641-bcb0-f133a5ada0c2
DL-D10-M108859,0c9f29a3-3a95-5594-a142-4c8c05012042
DL-D10-M109559,2b2334c7-4911-523a-ada8-195bde72142f
DL-D10-M109561,2163b863-c50b-5328-8696-76dca31ce8d0
DL-D10-M109564,012d94e9-9852-5acd-ba69-5ee8d9fb2cfe
DL-MP-12708,1347101d-66f9-53bf-a32e-5becc18736a0
DL-MP-12709,38b5c5da-dee2-5aa8-a644-24e91e47bd98
DL-MP-13332,8f8a4706-8d2d-5e67-a0fd-1ed5698def77
DL-MP-13333,81707f78-62c5-50a3-8e1d-ec5750130d76
DL-MP-13356,52d9b5f3-58c4-54d2-89ab-6e40092b4991
DL-MP-13448,68591096-bd3c-5ed9-9d43-3f83adfe882a
DL-UM-11555,35e599b7-acb6-5cf5-b676-fd5834ab9f6e
DL-UM-11556,67e030a9-3bf9-5573-9e1f-b6a9d2828673
DL-UM-11558,5d37a03f-8456-541a-a5df-309df440fa35
DL-UM-12100,c7000bf9-f345-5eee-b29c-9bde7da8a029
DL-UM-12102,ba88348e-5b82-52a1-8374-048da06bd67f
DL-UM-12103,9b0cdffc-54fe-5ee5-a447-ad1b778fbdc6
DL-UM-12104,0e9ceac1-108b-573b-baac-a8d3d0e32b6e
DL-UM-12105,4c828ada-4bd7-544f-b8d3-806bcc9333ee
DL-UM-12107,cf72ac00-40b0-5082-9990-0658b49fde4e
DL-UM-12108,eb9af416-a270-5c81-b587-620b4d8a1cb0
DL-UM-12232,77cd04c1-60da-5db4-8728-8761f60344de
DL-UM-12569,1a8680e4-d388-58c0-b80d-878280a93aee
DL-UM-12572,e48f522d-fb69-585f-a60c-6dbde88c23f2
DL-UM-12574,68e9f88e-b0c3-5676-9b1d-dfb61f615374
DL-UM-13816,bee74d98-6705-5e3e-987a-a767884e78cc
DL-UM-13817,2916177b-86c7-5b8f-96e9-fcd4ce1489cf
DL-UM-14055,d8df32da-b77a-5925-8822-05801025e1f5
DL-UM-15376,cc9f4749-c9be-50f7-b30e-9c6c45372cb7
DL-UM-15387,48b1efa4-f681-588a-aa66-1253a0d663a4
DL-UM-15389,50a40a38-69a2-5bbc-9267-828fa3841b2f
DL-UM-15390,eb5530f1-1368-5612-b4e4-e0182a643ac2
DL-UM-15392,d9b0d767-f829-5c98-89fd-782139938bd4
DL-UM-15395,f0ec2a9d-51b2-5ebd-9ed9-8352c2b89b2e
DL-UM-15396,a356321c-1023-51bf-b7f1-8c8658347c22
DL-UM-15398,cd07af65-f394-5f44-917c-8ea3d147d6a5
DL-UM-15400,51a43cba-dd5b-5e36-8726-c867328fb797
DL-UM-15401,b251db37-41fe-5bf7-8c96-3c41cd9e65cb
DL-UM-15402,706ce696-3c9d-5070-bde8-d9e1e2e25ac8
